Sample 1,Sample 2,Sample 3,Sample 4,Sample 5,Sample 6,Sample 7,Sample 8,Sample 9,Sample 10,Sample 11,Sample 12,Sample 13,Sample 14,Sample 15,Sample 16,Sample 17,Sample 18,Sample 19,Sample 20,
450,268,249,162,256,370,353,365,308,244,-1,238,218,-1,-1,311,664,524,-1,-1,
924,286,-1,256,363,524,-1,445,-1,198,192,166,-1,-1,267,302,264,218,516,586,
-1,93,-1,-1,170,477,176,247,299,-1,189,105,-1,111,148,179,135,172,288,129,
238,175,236,177,139,139,191,224,219,188,205,210,-1,-1,563,-1,362,344,-1,-1,
212,289,166,203,232,332,181,-1,-1,331,219,574,-1,-1,451,242,609,170,-1,181,
440,-1,149,89,77,166,24,114,-1,312,92,113,124,142,222,205,-1,60,-1,-1,
157,55,40,45,185,95,78,104,114,115,71,146,128,358,-1,-1,193,-1,-1,-1,
22,3,6,18,7,79,46,34,-1,-1,5,-1,13,52,-1,5,16,12,-1,27,
11,-1,-1,189,92,16,197,31,18,36,76,41,-1,56,-1,125,185,-1,219,-1,
-1,180,194,237,-1,220,316,-1,628,798,578,285,262,238,306,-1,-1,350,106,-1,
10,6,8,17,9,39,27,-1,-1,-1,-1,-1,10,4,11,23,9,15,8,-1,
-1,-1,-1,-1,-1,376,511,328,342,729,-1,189,91,262,225,93,91,200,151,126,
29,54,37,42,52,-1,-1,8,8,66,111,-1,38,-1,-1,-1,20,31,51,24,
546,425,204,-1,151,247,273,-1,-1,74,368,65,401,-1,229,-1,-1,628,474,258,
384,-1,891,679,346,529,-1,600,152,155,-1,143,175,-1,-1,-1,-1,159,514,371,
-1,339,472,104,315,-1,-1,154,208,255,352,-1,-1,-1,257,110,-1,96,218,201,
-1,-1,23,-1,23,50,-1,118,-1,121,-1,173,191,147,33,75,80,-1,61,101,
155,98,87,25,63,228,-1,133,241,32,197,211,299,-1,-1,-1,76,-1,-1,-1,
173,400,379,-1,-1,447,315,285,202,451,166,149,77,299,416,-1,-1,-1,-1,-1,
50,64,45,38,59,362,152,150,-1,120,-1,-1,375,249,-1,-1,-1,-1,229,265,
-1,128,169,44,-1,311,-1,193,-1,91,494,249,-1,252,208,204,248,219,-1,-1,
312,-1,-1,-1,-1,422,79,89,268,204,96,-1,241,179,176,137,-1,178,-1,-1,
-1,-1,432,134,169,-1,-1,-1,-1,-1,178,282,139,79,67,95,-1,116,89,63,
387,-1,-1,-1,-1,-1,-1,-1,199,272,-1,188,69,121,147,109,199,162,199,64,
-1,-1,-1,180,259,384,611,-1,-1,-1,-1,239,145,380,276,264,619,358,677,-1,
94,254,153,79,-1,40,-1,79,106,61,-1,-1,273,-1,184,55,134,-1,-1,-1,
-1,-1,-1,-1,296,496,278,103,284,241,115,382,205,-1,197,114,-1,-1,-1,256,
284,228,298,580,-1,-1,69,-1,-1,-1,132,-1,-1,160,56,-1,214,108,307,152,
-1,298,345,-1,-1,154,234,222,69,210,309,112,110,-1,122,240,-1,-1,-1,-1,
41,-1,-1,-1,161,10,-1,127,109,-1,-1,19,36,-1,-1,40,41,27,40,82,
147,299,-1,-1,247,271,177,282,236,160,-1,-1,-1,-1,-1,-1,145,187,369,161,
-1,-1,-1,-1,-1,256,231,240,-1,135,256,195,448,590,444,270,405,486,-1,-1,
27,80,15,34,54,-1,-1,-1,-1,-1,-1,-1,23,8,2,10,40,4,27,-1,
-1,285,-1,-1,-1,29,-1,-1,197,295,333,186,151,246,73,80,337,-1,56,-1,
318,281,-1,171,380,438,-1,-1,-1,165,-1,-1,-1,-1,151,115,186,166,-1,136,
104,119,82,58,62,74,215,191,-1,-1,-1,-1,-1,-1,-1,-1,-1,302,128,119,
137,102,-1,-1,-1,-1,-1,157,-1,78,145,230,194,-1,341,233,184,196,-1,-1,
221,210,-1,-1,69,66,76,17,36,-1,37,69,75,-1,-1,-1,-1,70,-1,-1,
389,171,-1,-1,575,195,332,301,216,-1,-1,-1,-1,-1,776,178,340,-1,-1,559,
311,201,69,-1,-1,57,-1,196,-1,-1,-1,235,-1,269,269,-1,393,-1,244,-1,
304,441,-1,238,374,813,145,229,-1,-1,180,-1,390,191,-1,-1,-1,-1,-1,-1,
148,-1,-1,-1,272,118,-1,-1,365,-1,124,151,112,48,185,29,-1,-1,-1,-1,
-1,-1,-1,-1,-1,423,118,294,-1,-1,670,358,510,135,398,148,-1,244,-1,-1,
468,-1,-1,122,99,101,73,170,108,99,-1,-1,-1,-1,-1,-1,-1,175,-1,218,
-1,-1,-1,-1,-1,490,447,214,377,-1,213,297,203,221,486,-1,-1,331,-1,-1,
-1,-1,-1,569,322,-1,-1,-1,-1,400,199,333,181,206,159,255,397,-1,-1,-1,
-1,-1,95,109,-1,357,86,-1,356,-1,-1,136,123,47,64,31,-1,-1,-1,-1,
63,-1,-1,165,18,14,18,-1,53,-1,-1,-1,-1,-1,39,-1,-1,50,115,-1,
-1,-1,-1,-1,-1,-1,114,-1,205,217,-1,-1,-1,201,615,-1,573,403,231,697,
-1,-1,-1,-1,-1,152,-1,-1,-1,-1,281,45,163,44,112,103,219,102,-1,-1,
211,110,-1,161,195,-1,-1,137,-1,-1,300,436,361,-1,270,-1,-1,-1,-1,-1,
-1,-1,495,758,-1,-1,-1,-1,165,460,-1,-1,-1,-1,268,-1,205,164,238,113,
194,-1,-1,-1,-1,-1,-1,-1,338,-1,617,283,-1,53,72,307,-1,-1,408,266,
73,79,207,-1,-1,-1,-1,-1,-1,-1,162,-1,-1,-1,99,46,53,144,-1,-1,
331,-1,-1,-1,-1,288,172,-1,243,147,-1,-1,-1,458,-1,-1,-1,-1,292,165,
218,-1,-1,178,110,141,-1,249,479,-1,-1,-1,-1,-1,-1,441,-1,577,-1,-1,
-1,77,224,87,-1,-1,-1,-1,-1,97,157,79,-1,101,347,-1,-1,-1,-1,-1,
-1,-1,-1,-1,66,70,82,356,-1,-1,-1,92,-1,-1,109,-1,-1,212,-1,74,
832,261,141,674,-1,179,259,279,254,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,158,96,-1,194,-1,290,-1,-1,-1,-1,133,-1,-1,-1,-1,-1,148,214,437,
646,189,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,313,399,348,78,205,-1,170,
-1,317,252,150,136,-1,61,-1,-1,-1,-1,-1,-1,-1,-1,-1,152,345,58,-1,
-1,-1,-1,-1,-1,-1,-1,-1,-1,337,265,363,344,-1,232,246,-1,-1,114,334,
-1,-1,-1,446,258,331,-1,200,143,176,-1,81,405,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,160,134,-1,200,117,-1,32,41,64,48,
-1,-1,-1,-1,-1,268,-1,460,238,-1,-1,-1,-1,-1,74,54,434,309,162,-1,
-1,-1,-1,-1,142,-1,-1,171,-1,-1,222,359,117,-1,-1,-1,-1,-1,506,442,
-1,-1,335,-1,339,-1,236,-1,417,-1,-1,-1,-1,-1,-1,-1,265,305,203,-1,
-1,270,182,452,182,254,192,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,101,-1,
-1,507,-1,-1,141,-1,-1,-1,140,-1,-1,177,346,-1,-1,-1,360,-1,-1,553,
-1,97,117,61,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,222,185,224,80,
-1,41,108,21,51,-1,-1,-1,-1,233,-1,-1,-1,-1,-1,-1,-1,-1,19,116,
-1,-1,-1,-1,-1,-1,667,254,275,395,519,-1,243,-1,-1,-1,-1,142,-1,-1,
497,-1,-1,-1,-1,-1,100,-1,469,-1,-1,-1,111,-1,280,101,576,-1,-1,-1,
-1,-1,-1,-1,-1,212,-1,57,49,-1,-1,33,-1,60,-1,52,43,-1,-1,-1,
-1,-1,-1,-1,-1,-1,-1,-1,63,225,113,169,-1,146,335,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,-1,-1,168,62,301,-1,-1,-1,-1,-1,250,190,-1,-1,398,
-1,-1,-1,-1,355,267,294,269,255,424,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
258,806,148,347,-1,-1,-1,-1,-1,-1,454,-1,-1,-1,-1,-1,-1,-1,-1,118,
-1,-1,-1,43,108,-1,283,272,167,-1,168,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,-1,57,70,-1,-1,-1,90,130,84,-1,-1,-1,51,-1,-1,
543,364,-1,-1,-1,-1,-1,-1,-1,-1,97,-1,-1,-1,-1,-1,379,679,286,-1,
-1,138,-1,132,24,35,104,53,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,237,171,-1,-1,-1,312,-1,-1,-1,-1,-1,541,276,129,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,-1,151,-1,-1,267,330,299,-1,129,138,-1,-1,-1,-1,-1,
-1,32,107,39,26,-1,132,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,98,-1,-1,
-1,43,-1,-1,-1,42,-1,132,-1,-1,80,245,-1,-1,241,-1,-1,-1,-1,-1,
-1,-1,-1,124,-1,-1,111,-1,-1,-1,275,392,-1,-1,-1,-1,-1,107,-1,55,
242,-1,-1,-1,-1,330,-1,-1,-1,-1,-1,-1,153,141,-1,-1,-1,125,-1,105,
231,-1,-1,-1,-1,-1,30,27,41,-1,-1,287,-1,-1,-1,-1,-1,-1,-1,81,
209,-1,-1,316,383,318,264,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,530,
-1,-1,-1,14,-1,-1,-1,-1,-1,20,-1,107,78,57,-1,-1,-1,-1,-1,-1,
31,49,11,103,27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,69,-1,-1,46,82,28,42,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,77,-1,-1,-1,-1,52,-1,-1,-1,78,86,236,-1,-1,-1,-1,-1,-1,
-1,391,-1,-1,-1,-1,-1,-1,-1,-1,343,-1,107,-1,-1,-1,-1,-1,319,549,
-1,-1,-1,-1,-1,-1,-1,-1,-1,96,109,111,87,-1,400,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,-1,-1,-1,-1,628,-1,-1,126,198,336,198,-1,-1,-1,-1,
-1,-1,-1,-1,-1,-1,-1,-1,440,101,120,-1,-1,-1,-1,-1,128,357,-1,-1,
-1,-1,-1,311,326,-1,-1,-1,-1,-1,554,-1,-1,-1,-1,-1,-1,118,87,-1,
161,177,-1,-1,-1,-1,539,-1,-1,185,418,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,-1,-1,-1,-1,181,207,433,171,293,-1,-1,-1,-1,-1,-1,
68,30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,254,93,173,
103,314,-1,-1,122,-1,-1,-1,334,-1,-1,-1,-1,-1,-1,-1,-1,141,-1,-1,
207,-1,-1,-1,278,281,-1,-1,314,434,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,252,214,95,86,322,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
249,-1,-1,-1,-1,379,-1,-1,-1,-1,-1,176,-1,-1,-1,-1,-1,-1,258,232,
-1,-1,-1,-1,-1,-1,149,115,-1,29,161,-1,147,-1,-1,-1,-1,-1,-1,-1,
260,168,254,568,-1,255,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
119,-1,-1,-1,-1,158,-1,-1,-1,68,-1,-1,-1,-1,-1,-1,-1,217,50,-1,
-1,-1,-1,-1,-1,-1,320,-1,-1,-1,-1,-1,539,-1,310,202,221,-1,-1,-1,
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,453,386,-1,-1,-1,188,-1,297,127,
87,127,-1,-1,-1,-1,-1,-1,-1,-1,146,233,307,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,-1,-1,555,226,-1,-1,-1,-1,-1,207,-1,271,-1,139,-1,
656,-1,-1,-1,-1,-1,-1,-1,-1,271,198,377,-1,-1,-1,-1,155,-1,-1,-1,
-1,-1,-1,-1,-1,-1,-1,-1,12,-1,-1,-1,-1,77,-1,15,-1,-1,65,-1,
121,-1,-1,-1,-1,-1,-1,-1,-1,-1,15,16,-1,-1,-1,-1,-1,73,-1,-1,
-1,-1,-1,138,-1,-1,-1,47,42,-1,-1,-1,-1,294,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,35,14,84,149,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,4,-1,13,-1,-1,-1,7,2,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,88,32,84,25,-1,-1,-1,
