ID,Radius $(h^{-1}\mathrm{Mpc})$,Radius uncertainty $(h^{-1}\mathrm{Mpc})$,Mass $(10^{14}h^{-1}M_{\odot})$,Mass uncertainty $(10^{14}h^{-1}M_{\odot})$,R.A. (deg.),Dec. (deg.),z,Distance $(h^{-1}\mathrm{Mpc})$,SNR,Reproducibility Score,Central Density Contrast,Central Density Contrast Error,Average Density Contrast,Average Density Contrast Error,
59,15,0.5,3.4,0.3,347,-35.8,0.031,134,14.1,0.6,-0.84,0.015,-0.71,0.0031,
60,11,0.2,1.4,0.08,151,-19.9,0.027,120,30.3,0.6,-0.89,0.0095,-0.71,0.0042,
61,10,0.3,1.2,0.1,175,1.86,0.024,106,15.1,0.6,-0.87,0.008,-0.69,0.0063,
62,16,0.6,4.9,0.5,6.72,-19.7,0.028,122,20.6,0.6,-0.85,0.015,-0.71,0.0043,
63,12,0.5,1.8,0.2,351,-49.7,0.026,116,25.7,0.6,-0.85,0.01,-0.72,0.0052,
64,11,0.3,1.6,0.1,349,-24.2,0.025,110,46.1,0.55,-0.85,0.016,-0.7,0.0056,
65,12,0.3,1.9,0.1,28.5,6.14,0.024,107,56,0.55,-0.88,0.013,-0.73,0.0036,
66,12,0.3,1.7,0.1,354,-11.7,0.025,111,13.7,0.55,-0.84,0.011,-0.7,0.004,
67,14,0.5,2.7,0.3,236,-8.68,0.029,127,15,0.55,-0.86,0.011,-0.73,0.0036,
68,10,0.4,1.2,0.1,42.4,4.74,0.023,102,25.8,0.55,-0.86,0.014,-0.7,0.0067,
69,11,0.4,1.5,0.2,327,13.8,0.026,112,21.6,0.5,-0.88,0.0059,-0.73,0.007,
70,10,0.3,1.2,0.1,95.6,36.1,0.025,109,111,0.5,-0.8,0.026,-0.71,0.0076,
71,12,0.5,2,0.3,24.9,-35.8,0.029,126,28.4,0.5,-0.86,0.013,-0.72,0.0043,
72,10,0.4,1.1,0.1,11.8,40.5,0.019,82.1,35.1,0.5,-0.85,0.013,-0.74,0.0053,
73,12,0.4,2.1,0.2,195,-27.2,0.025,112,12.5,0.5,-0.88,0.0061,-0.68,0.01,
74,10,0.2,1.1,0.1,174,51.2,0.028,123,87.4,0.5,-0.86,0.01,-0.72,0.0084,
75,10,0.3,1.3,0.1,98.6,-26.7,0.022,98.2,99.4,0.5,-0.88,0.007,-0.7,0.007,
76,13,0.6,2.2,0.3,72.8,-2.3,0.027,118,27.5,0.5,-0.86,0.019,-0.72,0.0072,
77,15,0.6,3.7,0.4,259,56.9,0.026,116,20.4,0.45,-0.81,0.027,-0.7,0.0029,
78,10,0.5,1.2,0.1,111,14.7,0.016,69.8,18.9,0.45,-0.81,0.026,-0.72,0.0048,
79,13,0.4,2.2,0.2,297,-31.7,0.03,133,24.4,0.45,-0.84,0.02,-0.7,0.0047,
80,11,0.3,1.2,0.1,321,-7.9,0.023,102,49,0.45,-0.88,0.012,-0.75,0.0053,
81,11,0.4,1.3,0.1,182,29.4,0.025,112,16.6,0.45,-0.88,0.0082,-0.72,0.0052,
82,11,0.6,1.5,0.3,160,-21.9,0.03,133,28.3,0.45,-0.88,0.015,-0.71,0.0051,
83,13,0.4,2.5,0.2,44.3,24,0.027,120,35.4,0.4,-0.85,0.013,-0.69,0.0068,
84,11,0.3,1.2,0.1,51.2,19.7,0.006,26.7,12.4,0.4,-0.87,0.011,-0.73,0.0041,
85,11,0.5,1.3,0.2,139,-7.73,0.024,107,80.2,0.4,-0.86,0.0099,-0.72,0.0052,
86,12,0.4,1.9,0.2,208,7.73,0.03,133,31.1,0.4,-0.82,0.024,-0.73,0.0068,
87,13,0.4,2.1,0.2,329,-3.42,0.027,117,43.3,0.4,-0.84,0.0096,-0.71,0.0079,
88,10,0.5,1.2,0.2,99.8,-24.6,0.023,102,75.2,0.4,-0.87,0.0053,-0.71,0.0056,
89,11,0.4,1.6,0.1,74,-35.7,0.017,74.9,124,0.4,-0.86,0.018,-0.71,0.0057,
90,11,0.5,1.3,0.2,110,33.9,0.022,95.4,25.4,0.4,-0.88,0.012,-0.72,0.007,
91,12,0.5,1.8,0.2,257,3.7,0.025,112,37.5,0.4,-0.87,0.014,-0.71,0.0049,
92,11,0.3,1.2,0.1,171,42.9,0.027,119,40.9,0.4,-0.87,0.013,-0.71,0.0073,
93,11,0.4,1.5,0.2,191,-0.205,0.021,91.1,102,0.4,-0.8,0.024,-0.7,0.0093,
94,13,0.5,2.2,0.3,133,15.3,0.029,127,24.2,0.4,-0.86,0.007,-0.74,0.0049,
95,11,0.6,1.7,0.2,85.9,71.5,0.025,112,13.3,0.4,-0.84,0.027,-0.68,0.012,
96,11,0.5,1.5,0.2,102,19.1,0.022,98.3,15.8,0.35,-0.82,0.019,-0.69,0.0054,
97,10,0.2,1.1,0.09,351,39.3,0.019,82.3,16.5,0.35,-0.85,0.0094,-0.73,0.0082,
98,11,0.4,1.5,0.2,52.3,55.8,0.016,70.6,48.9,0.35,-0.85,0.02,-0.7,0.011,
99,10,0.5,1.2,0.2,45.9,41.7,0.03,130,12.5,0.35,-0.87,0.012,-0.73,0.0051,
100,12,0.4,2.1,0.2,112,-42.8,0.024,106,23.5,0.35,-0.87,0.015,-0.7,0.0051,
101,14,0.7,2.7,0.4,202,-3.53,0.027,121,14.2,0.35,-0.85,0.019,-0.73,0.0074,
102,10,0.4,1.3,0.2,300,-70.9,0.019,83.4,26.6,0.35,-0.87,0.0069,-0.67,0.01,
103,11,0.7,1.5,0.3,233,36.3,0.016,72.3,91.7,0.35,-0.82,0.019,-0.71,0.0031,
104,14,0.5,2.7,0.2,207,-2.03,0.028,123,13,0.35,-0.84,0.0095,-0.73,0.004,
105,12,0.5,1.8,0.3,284,28.1,0.025,112,11.6,0.3,-0.9,0.0057,-0.72,0.0074,
106,11,0.6,1.4,0.3,341,-9.06,0.026,113,27.9,0.3,-0.88,0.012,-0.74,0.0049,
107,10,0.2,1.1,0.05,300,11.3,0.027,117,25.6,0.3,-0.87,0.011,-0.71,0.0044,
108,10,0.6,1.2,0.2,306,14.8,0.027,120,74.5,0.3,-0.87,0.021,-0.72,0.015,
109,12,0.5,1.9,0.3,9.8,46.2,0.0073,32.2,21.4,0.3,-0.86,0.0068,-0.71,0.0097,
110,13,0.3,2.6,0.3,39,-19.7,0.029,130,21.2,0.3,-0.89,0.011,-0.7,0.0082,
111,10,0.6,1.1,0.2,72.6,-4.96,0.027,117,30.8,0.3,-0.87,0.013,-0.71,0.0094,
112,14,0.6,2.8,0.4,68.3,6.49,0.028,121,18.1,0.3,-0.86,0.013,-0.71,0.0053,
113,11,0.5,1.2,0.2,282,-36.3,0.028,123,25.3,0.3,-0.87,0.013,-0.74,0.0072,
114,11,0.4,1.4,0.1,108,33.3,0.026,115,75.7,0.3,-0.87,0.013,-0.72,0.0059,
115,14,0.5,2.9,0.3,133,11.3,0.026,115,76.6,0.3,-0.8,0.022,-0.72,0.0064,
116,13,0.7,2.2,0.4,117,12.4,0.017,76.4,16.1,0.3,-0.88,0.0079,-0.72,0.0089,
117,12,0.6,2,0.3,353,-48.7,0.029,126,48.2,0.3,-0.85,0.015,-0.7,0.007,
118,12,0.3,1.8,0.2,14.2,36.1,0.0059,26.1,19.6,0.3,-0.81,0.012,-0.69,0.0063,
119,14,0.9,3,0.6,15.3,9.5,0.017,74.1,14.8,0.3,-0.75,0.048,-0.7,0.012,
120,10,0.3,1.1,0.1,162,-13.6,0.023,101,20.5,0.3,-0.88,0.0098,-0.71,0.0027,
121,15,0.8,3.2,0.6,69,24.4,0.028,122,26.3,0.25,-0.87,0.012,-0.73,0.013,
122,15,0.8,3.9,0.7,272,29.5,0.022,98.3,30.3,0.25,-0.85,0.0062,-0.71,0.0053,
123,14,0.4,3.3,0.3,357,44.2,0.023,100,14.9,0.25,-0.84,0.022,-0.7,0.0088,
124,13,0.6,2.2,0.3,31,45.4,0.027,117,11.8,0.25,-0.89,0.012,-0.73,0.0039,
125,10,0.6,1.2,0.3,326,-4.95,0.028,124,82.7,0.25,-0.85,0.021,-0.72,0.0088,
126,12,0.6,1.9,0.2,158,-51.2,0.023,103,54.2,0.25,-0.89,0.006,-0.72,0.0063,
127,11,0.6,1.1,0.2,133,17.4,0.027,121,32.1,0.25,-0.87,0.0098,-0.76,0.012,
128,11,0.6,1.5,0.2,56.4,-29.3,0.016,71.5,71.7,0.25,-0.85,0.015,-0.72,0.0051,
129,11,0.7,1.3,0.3,24.7,43.3,0.027,120,20.4,0.25,-0.89,0.01,-0.73,0.0052,
130,11,0.6,1.3,0.2,27.8,14.3,0.026,115,29.2,0.25,-0.87,0.017,-0.72,0.0089,
131,11,0.4,1.4,0.1,309,14.4,0.024,106,32.6,0.25,-0.84,0.024,-0.71,0.0025,
132,13,0.8,2.1,0.4,137,-3.73,0.025,109,55.5,0.25,-0.91,0.0089,-0.74,0.0073,
133,12,0.5,1.7,0.2,137,36.8,0.024,105,32.5,0.25,-0.89,0.011,-0.7,0.01,
134,10,0.3,1.1,0.1,45.6,30.2,0.02,88.2,88.6,0.25,-0.88,0.0067,-0.72,0.0073,
135,12,0.6,1.9,0.3,6.52,-18.3,0.025,111,51,0.25,-0.82,0.017,-0.68,0.011,
136,11,0.2,1.3,0.1,11.4,-12.8,0.03,130,11.3,0.25,-0.86,0.017,-0.72,0.0072,
137,13,0.6,2.2,0.3,318,81,0.029,127,19.4,0.25,-0.82,0.035,-0.71,0.0075,
138,11,0.4,1.3,0.1,273,23.6,0.03,132,220,0.25,-0.89,0.0086,-0.71,0.002,
139,13,0.5,2.1,0.3,287,37.5,0.022,96.3,12.8,0.25,-0.85,0.031,-0.71,0.0063,
140,10,0.4,1.1,0.1,29.2,40.6,0.03,130,19.1,0.25,-0.9,0.012,-0.72,0.0076,
141,10,0.5,1.2,0.1,6.75,28.8,0.026,116,22.8,0.25,-0.85,0.015,-0.71,0.0084,
142,12,0.5,1.7,0.2,344,-4.35,0.025,109,13.4,0.25,-0.86,0.015,-0.71,0.0073,
143,11,0.5,1.3,0.2,83.5,-41.8,0.013,55.6,134,0.25,-0.87,0.0078,-0.71,0.006,
144,10,0.5,1.3,0.2,57.1,52.1,0.018,78.2,41.8,0.25,-0.88,0.012,-0.69,0.0064,
145,15,1,4.3,1,295,4.81,0.025,110,21,0.2,-0.82,0.027,-0.7,0.0098,
146,15,0.9,3.7,0.7,293,8.44,0.023,103,22.3,0.2,-0.83,0.021,-0.71,0.0074,
147,13,1,2.5,0.5,291,-9.52,0.0092,40.9,21.4,0.2,-0.87,0.012,-0.7,0.01,
148,14,0.9,3.2,0.6,255,7.34,0.027,120,48.4,0.2,-0.77,0.04,-0.71,0.007,
149,19,0.9,7.9,1,64.6,27.6,0.027,119,20.2,0.2,-0.83,0.029,-0.71,0.0085,
150,14,0.6,3,0.3,293,10.8,0.021,92.8,18.9,0.2,-0.89,0.014,-0.72,0.0086,
